Rating,Title,Full Review,Information,Service Ratings
2.0 of 5 bubbles,Questionable flight attendants,"What can I say? You get what you pay for. However I didn’t expect to feel such anxiety flying with this airline which is bare minimum even for a budget airline, the flight attendant (females in particular) have questionable attitude and attire, if you think back how vietjet marketed themselves a few years back with their stewardess in bikinis, not something I would respect to look after my life and safety during air travel. Not to mention the seats are like stools you use at home, flimsy and no support, worse than my dinning chairs. 

Never again thanks",Date of travel: February 2025,"[{'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,The savings are not worth flying with this airline,"Worst flight experience I have ever been on. I am a frequent flyer and have no problems with budget airlines but this airline is not just a budget airline they want to rob you and squeeze every last bit out of you. I flew on an empty flight, less than 5% full with plenty of empty rows. But no one on board the flight was allowed to stretch out and be comfortable. Not even a lady with her toddler. Instead they wanted to charge you for the empty seats. Which I don’t have a problem with, but what the staff do is insist you pay cash for it. Which I believe they are pocketing themselves. Because if you want to pay card, they will pull out a menu and show you the card price which is double the cash price. Very dodgy airlines. Extremely bare bones. Everything comes at a cost. They don’t offer you water yet they don’t let you bring your own water on board. They physically have airport security checking that you don’t bring any water on board.",Date of travel: February 2025,
1.0 of 5 bubbles,"Tight Flight, seats for below average stature only.","Part of a mixed flight deal, we travelled out on Thai and home with Vietjet.

The seats are tiny, found no way to recline, it was torture on a 4 hour flight. We wanted water but they only took cash and not GBP.

Never ever again.",Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
2.0 of 5 bubbles,"King of change time, rude, no explanation",My booking said 23:50 and the flight time was change 1:30 am. Same flight number and some people got 1:30 am as a departure time others 23:50. When I asked the crew why they got upset and said my agency gave me wrong time. But what about the other passengers.  If you flight is VJ91 SGN to PERTH. Be ready to get your time change. Website still shows 23:50 but they will tell you flight always leave at 1 :30am. Flight status show ON TIME.,Date of travel: February 2025,"[{'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Worst company,"Worst company that I've ever flown with, in a 8 h flight they didn't give us drink or any food, so we tried to pay for some but we couldn't because they just accept credit card so we couldn't eat anything. We flight was almost empty and we ( me friend and I) just wanted to sleep in sepparated seat and they didn't let us telling us that we need to pay to move to another seat, when some of th other people from vietnam were laid down on 3 seats, when the seats are uncorfortables to be that many hours sitting in 1 position",Date of travel: January 2025,"[{'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Rude security staff at ho chi minh intl airport just ruined it for me,"The airline seats, combined with terrible food doesnt really speak good things about an airline. But the worst part about vietjet is having to arrive at one of their airport and then deal with the extremely rude staff u dont care about you. Need we remind them that these people who behave so rudely with intl passengers get paid from all the various fees the airline charges us as a part of out ticket. Nice place with nice people but the inconsiderate staff at the airport in the end just leaves a really bad impression and taste. 

Anything to declare: yes. Dont go to vietnam",Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Pathetic service,Never recommend because flight is always in a delay mode by 2 hours… leg space also very less seats are also not comfortable,Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,I would never ever book with flight with Vietjet Air,"I was supposed to fly to brisbane aur on 14/03/2025. I came from kuala lumpur and had only self transfer 2 hours stop over in SGN airport. I had to check out 1st and go out from arrivals and come back into departures and check in again. I was with my 6 years old son and he and I was very exited to go to brisbane Australia 1st time ever. It took me while to check out due to long ques on check out. I Reached to check in around 50 mins ago from the flight time. They didn't let me in to the flight. There was very rude a few staff members and they didn't help me. My son was crying to go to australia and they don't care about. We wasted our around £1300 due to just 10 mins late. I had very terrible experience with them and I don't like Vietjet air. I wish I would never even see that staff again. They also refuse to refund me.
I am still very hurt. We had many plans all ruined because of that rude and very bad staff.",Date of travel: February 2025,
1.0 of 5 bubbles,Very Poor Service Vietjet Air,"We had the worst experience ever with this airline. Their service is extremely poor, and they do not care about their passengers. Our flight from Bali to India was delayed by 4 hours.

When flying from India to Bali, we had excess baggage and had to pay around $300 for 13kg. Since we paid this amount, our baggage should have been tagged for extra care. However, we only received our baggage the day after arrival. When we went to the baggage claim, the ground staff told us they would send it to our house, but in the end, we had to collect it from customs. They placed a customs tag on it without informing us, and there was no assistance from VietJet Air. You will find no staff to help you, leaving you feeling helpless.

I strongly recommend that Indian travelers avoid booking with this airline when flying to Bali. According to the ground staff in Indonesia, baggage delays on this route are a common issue. So, please be cautious when traveling with this airline.

This was the worst experience we have ever had with an airline.",Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}]"
1.0 of 5 bubbles,Try to avoid,"Booked Flight cancelled without notification to us. So we had to weit much too long on the airport instead of spending our time in the City or hotel.
According to this the flight was more than one hour delated, so in the end, we arrived at 6 pm in our beach hotel and not at 2 pm..soaeked wet due to the temperature in the airport waiting area, we had seen more than 3 hours....
Without any information via Mail or SMS.mmm

Staff at check in desk as friendly as the vietnamese passport officers.",Date of travel: March 2025,"[{'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Poor airline,Terrible airline. Took 5 journeys with them in 2 weeks. Every flight was delayed by several hours. The last flight was from brought forward from 1600 to 0930 so we rushed to airport to find it delayed until 1230 eventually took off at 1300. 100% not recommended,Date of travel: March 2025,
1.0 of 5 bubbles,🗑️,"Incompetent ground staff, commonly overbooked flights with long delays and zero apologies, highly advise to stay away by all means",Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,F O Viet Jet Airline,"This Airline is the Horror in Person.

They sebd you after midnight a Info that the departure change to 3 hours later. You will have no chance to use tha last late evening flight a day before.  And as a Premium Costumer you will get the information atvthe lounge that you can not wait longer than 3 hours for this f.... later flight. The Sky Boss Costumer have leave the  lounge. The one thing in general in Vietnam works fine: pay alot and get nothing! And the nothing you will get not polite.  That you know you are just the f.... Tourist in this country.",Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}]"
1.0 of 5 bubbles,Do Not Fly with this airline,Worst airline in the world. Staff at the airport in Mumbai and airports in Vietnam are rude and liars. Requested for seats with leg room and point blank said no. Got on to the plane and found seats empty. Requested to move and rudely said no. Never ever will i ever fly with this airline. Also flights are always delayed. Trip adviser should have zero rating,Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Never buy tickets from this airline.,This is the worst airline I have ever flown with because they delayed my flight for almost 5 hours. Because of this I missed my flight with the same airline to another country. They locked me in the transit area for 24 hours waiting for the next flight. They gave me a voucher for 60 dollars and refused to let me out of the city even though I don't need a visa to visit Vietnam and they didn't want to help me at all. They refused to provide any hotel.,Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Don’t waste your money,"Where do I start? Was it the hot plane, horrible cramped hot bus (I caught 4 flights all had this experience ), terrible service, bad food, incredibly small seats and leg room or lack there of, extensive delays which would have caused us to miss our connecting flight (I changed the connecting flight knowing they were for sure going to be delayed) or just the overall terrible experience. Spend the money do not fly with this airline it is utter rubbish.",Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}]"
1.0 of 5 bubbles,VietJet Air should be banned!!!,"A Fraudulent Company that should be banned from all airports!!!
We have never in our lives experienced such a terrible airline, I’m shocked how this company is even in operation. Hopefully the authorities will intervene soon so they cannot continue with scamming customers!

The website did not allow us to pay for luggage in advance so we had no choice but to pay extra high charges at the airport. They weighed all our bags and confirmed everything was fine.

The real scam came at the boarding gate, where they decided to re-weigh all our hand baggage and force us to check-in our personal valuables and belongings and pay extortionately higher fees just before we got on the aircraft! They weighed the laptop, carry-on + handbag all together which came to 9kg and they wanted to charge an additional 1200000 Vietnam currency otherwise they would not let us board the plane.

They wasted our time taking so long to weigh the bags and debating over the extra 2 kg. We had to rearrange the baggage to remove the valuables to checkin and pay for hand luggage at the boarding gate….AND THEN THEY DID NOT LET US BOARD THE PLANE!!!!  closing the gate right as it was our turn to get onto the aircraft - NO REFUNDS GIVEN for the excess baggage charges even though they did not let us board the plane!!!! They stated that they closed the gate 2 minutes ago even though we were right in front of it and they could see we’re rearranging our hand luggage as per their instructions.

It truly was a shocking experience! We had to purchase brand new tickets with a different airline to travel to our destination. They charged us excess baggage fees, made us comply with their policies and then closed the gate on us, deliberately making us miss the flight! 

It seemed that the staff enjoy going out of their way to bully and disrupt the comfort of passengers travelling. 

Thankfully we paid for the tickets using a credit card and will have no choice but to claim back through the bank because VietJet certainly do not give any refunds and are simply there to scam you!!!!

Read all previous reviews first before even considering to book this fraudulent airline! It truly was a memorable experience for all the wrong reasons!",Date of travel: March 2025,
1.0 of 5 bubbles,One word is Awful. Khủng khiếp,"Never ever go with VietJet anymore. Delay anytime they want. Staff unprofessional and rude. They try to take your money by anyway á much as they can , after they took your money they don't care about customer 
Đung bao giờ bay với Vitetjet nếu không muốn rước bực bội vào người. Kiếm tiền khách hàng bằng mọi hình thức, delay vô tội vạ",Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,DONT GET ON THIS,Worst experience I could  ask for we had to buy 3 extra tickets just to get on the plane on time because a missprint and were rude and inconsiderate about the situation do not recommend.,Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}]"
1.0 of 5 bubbles,A SCAM AIRLINE - AVOID!!!!,"I take over 50 flights a year and this airline is by far the worst travel experience I’ve ever had in over 40 years of travel !!!

Avoid at all costs!!  It’s worth paying over double with any other low cost airline. VietJet is a professional scam company who go out of their way to scam customers. The staff were shockingly rude and deliberately went out of their way to ensure I overpaid for luggage and still closed the gate on me at check-in so I could not even board the plane! No refunds given though!! 

Never heard of such a scam airline before and shocked that it is even in business.",Date of travel: March 2025,
1.0 of 5 bubbles,Avoid! the worst airline I have ever flown on.,A terrible airline. 1 hour late. Unable to fit my legs into the seat. Never seen such poor leg room. Was refused to be able to sit in the empty seats ahead of me. Staff rude. Service non existent. Long wait on tarmac to disembark. Baggage took so long to arrive we missed are connection. Do not fly with this airline.,Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
