Rating,Title,Full Review,Information,Service Ratings
1.0 of 5 bubbles,Avoid!!!!!!!!!,"The worst experience I ever had! I’m shocked how your staff can treat people like that?!
I’m sorry for my language but I felt like a sh..
I will never use this airline again. Please avoid!!!",Date of travel: February 2025,"[{'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Don't book with Bamboo Airways,Poor service all around----Avoide at all cost not worth the hassle it is not worth saving a few extra pounds go with one of the other companies,Date of travel: January 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
3.0 of 5 bubbles,"Good in most respects, but routine scam of passengers for additional ""booking change fee""!!","Pretty much everything was fine with our 40-minute flight itself. The plane was an older A321, but clean and well maintained. Flight was on time.  Our only complaint was the same as hundreds of other passengers. They seem to routinely milk passengers for an extra 108K VND for not having middle names entered in their system exactly as appearing on passports.  This is the first airline I've ever seen scamming passengers in this manner.  It literally took the agent 15 seconds to change my name in the system, but she insisted to charge the ""booking change fee"".  The staff said many, many passengers complain about this racket.  It would be exceedingly simple to revise their booking program and include a warning on the booking site about the strictness in requiring the middle name, but they obviously don't want to eliminate this cash cow. Imagine, an extra 108K VND from half of their passengers!! I'd give this airline at least four stars based on everything else, but they get a major ""F"" for failure to properly warn people on their website and scamming the overcharge!",Date of travel: January 2025,"[{'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,A poor passengers experience let down by terrible IT systems,"This airline’s IT systems are terrible and cause all sorts of unnecessary problems that annoy customers and make the passenger experience an annoyance. 

We bought two return tickets with 20kg of checked luggage each. When checking in at the airport for the return journey, we were told we only have luggage allowance for one person even though we have an email confirming otherwise.

We were sent to the service desk to sort it out. There we were told we had luggage allowance for one person even though we had one booking number for the entire return trip and had paid for checked luggage for two people. So this became an argument until my partner held his ground and the agent corrected their systems.

We also had problems on the outbound journey, my partner having been told his name was too long for their system. The system had therefore shortened it but this means the name in the system was then different than what was in his passport. 

When IT systems cause you the odd problem, fine. But then your problems become routine and lead to consistent passenger annoyance, you have a big problem you need to urgently fix.",Date of travel: January 2025,
1.0 of 5 bubbles,Worst customer service,The guy at the checkin counter try to take money from us even when our carry on still under requirement. Never coming back,Date of travel: January 2025,
1.0 of 5 bubbles,Internal system flaws but passengers must pay it. Horrible!!,"I think Bamboo air has 2 systems when booking and recently they might change the middle name and name, and family name which they said my booking is wrong name and family
Position asking me to pay 108,000 dong for amendment fee otherwise they will not let me flight. I saw other traveller got the same issue PN
08 Dec 2024 which just after my booking on 5th Dec. Now their system swift the position of that
2 names. After paid and check in, the male agent from bamboo was rude talking loud that I didn’t buy check in luggage and lounge. Luckily there is a lady bamboo agent from biz class heard that and feedback to the guy so he let me check in. But didn’t have lounge on my ticket. Bamboo has internal system flaws then must correct it but why asking customers pay for your mistakes? I will never flight with bamboo again",Date of travel: December 2024,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}]"
5.0 of 5 bubbles,I had no issues,"I took Bamboo Airways from Hanoi to Danang and I didn’t have any issues from check in to boarding.

I booked my flight in September to fly in December.
Nothing was cancelled.
I also read the negative reviews that When passengers would book online they weren’t given the option to put their full name.

I managed to put my full name and had no issues.

When booking a flight online, you ALWAYS want to spell your name how it is spelt on your PASSPORT.

The staff were polite and helped passengers put their carry on in the cabin and a bottle of water was offered.",Date of travel: December 2024,"[{'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,NEW WAYS TO SCAM & OVERCHARGE YOU! BAMBOO AIRWAYS IT IS.,"SCAM AIRLINES. FIND WAYS TO OVERCHARGE YOU. Clearly the website asks middle name 1st ( as attached their official website), they kept denying boarding saying if we don't pay for name correction and seats, we don't board. They opened the website on their system, it still reflected middle name first. They made us wait and came back again to say that they don't know, goigle is loading wrong, we have to pay. I argued,  tried reasoning and asking justification with them 1 hour that how thet are openly scamming. Finally, had to pay and leave. WORST AIRLINE. AVOID.",Date of travel: December 2024,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Avoid,"Save yourself the hassle and avoid. They will find a way to overcharge you. In our case, our middle names were not on the booking so we had to pay for a ‘name change’.",Date of travel: December 2024,
1.0 of 5 bubbles,What a joke of a company,"If I could give negative stars I would. My carry on bag was 1 kg over weight so they forced me to pay them 300,000 dong and check it, I couldn’t take anything out or do anything to the bag. It was pay and check or don’t fly. I then paid and got on the plane: I didn’t realize I had a battery pack in my bag so they came on the plane and asked me to sign a paper that they would remove the battery pack and put the luggage on my plane, I signed. When we began moving I noticed my air tag was not moving with us. I proceed to ask a flight attendant what was going on. He pulled Joseph, the manger over to figure it out. I told Joseph what she told me and was told I’m lying that she told me it would go on the next flight. Another flight attendant heard this and came over and told Joseph she in fact did tell me that it would be put on our flight. Joseph then became very apologetic and even brought us free drinks, upon landing we were told, by Joseph, they would bring my bag to the hotel I just had to go to lost and found to work it out. Upon getting to lost and found the girl working was rude and had no idea what I was talking about. She told me this is all my fault and that at 2 pm (our flight landed at 9 am) I can come back to the airport to get my bag once it arrives. Every work lied just to have me walk away from them. What a joke of an airline.",Date of travel: November 2024,
1.0 of 5 bubbles,Scammers and thieves,"Like many others, I also was scammed by Bamboo. After almost a year after the cancelled flight I still have not received refund, and recently they have stopped replying to my emails. I do not know how it's possible that they are still operating, after they simply stole money from so many, and are absolutely shameless",Date of travel: December 2023,
1.0 of 5 bubbles,Scammy budget airlines in Vietnam will extort you,Pre booked roundtrip airfare from Ho Chi Minh to Danang on Priceline a few days prior. When I got to the airport they would not let me through because I did not include my middle name on the Priceline booking and my passport has my middle name. They cited for “security reasons”. Extremely silly technicality as it is clearly me and I can provide other forms of identification. Never have I ever had this issue traveling which leads me to think this airline is scammy. And I had another incident a few days prior flying another budget Vietnamese airline where they scammed me by double charging for check in luggage. Bamboo rep said I would need to purchase another round trip ticket since they would not be able to add my middle name to the ticket. At this point I was going to miss my flight and ruin the trip so I proceeded to pay (overpay) for another roundtrip ticket and figure I would dispute at a later date. Ridiculous!,Date of travel: November 2024,
1.0 of 5 bubbles,SCAM AIRLINES,No refund evenwhen they confirmed by email. Keep sending email but they never reply. It has been 3 months already. Terrible customer service!!!,Date of travel: August 2024,
1.0 of 5 bubbles,No refund for cancelled flight,"My flight was cancelled by Bamboo, no refund after a year. Was in Hanoi Bamboo office, and they review and agreed with the refund. But It was only lie, so I will leave them.",Date of travel: December 2023,
4.0 of 5 bubbles,rating bamboo airways,"It's rather good like flying on a small aircraft, I fly on an A320 but food on my flight ran out of food very quickly so I just called a handy noodle",Date of travel: July 2024,"[{'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,AVOID BAMBOO AIRWAYS,Avoid bamboo airways. They cancelled my flights at short notice and still have not refunded my money. It’s been nearly 12 months and I’m still no closer to getting a refund. They are scammers,Date of travel: November 2023,
1.0 of 5 bubbles,Worse airlines in Vietnam,Worse customer service.  Wanted to charge me for anything they could. Said I spelt my name wrong? Wanted to upcharge me because they ran out of economy. Hands down the worse customer service I have ever experienced,Date of travel: October 2024,
1.0 of 5 bubbles,The Worst Airlines,The Worst Airlines ever. Travelers should avoid this Vietnamese airlines at all cost. They're trying to get as much as your money in any ways they can. Should use National Airlines like Vietnam Airlines for better experience,Date of travel: October 2024,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Thief company,I had to pay a fee to add my middle name on my ticket. My full name was to long when I booked my ticket online so I could not put my middle name. Even after checking with the admin he said I should have put my full name even if my last name was cut. They are just thief . It’s a shame.,Date of travel: October 2024,
1.0 of 5 bubbles,Bad experience,They charged me to pay 180 000 dong because i didn’t specify my second name on the booking but there is no field that ask me to specify it,Date of travel: October 2024,
1.0 of 5 bubbles,"Avoid at all cost, it is a scam flight company","This is a scamming flight company in Vietnam, they take advantage of missing people's middle names or wrong names in general and ask us to buy new tickets. Even though we have the transaction from credit card and can prove it, they refuse to support. It is basically a scam, because their website doesn't ask to input in such details. They don't support you at all",Date of travel: September 2024,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,The worst airline,"Beware of this airline! I mistakenly omitted my middle name when purchasing tickets, and they offered no support to resolve the issue. I ended up losing the entire cost of the ticket.",Date of travel: September 2024,
1.0 of 5 bubbles,Bamboo Airways Scam,"Bamboo Airways uses every possible tactic to exploit money from foreign passengers by manipulating the name order between (Last Middle First) and (Last, First Middle), as seen in U.S. passports. For example, the traditional Vietnamese name (Last Middle First) “Tran Van Nam” becomes “Tran, Nam Van” in a U.S. passport (Last, First Middle). On September 25, 2024, despite all five of my family’s tickets being correctly registered as “Tran, Nam Van,” matching our U.S. passports, Bamboo Airways still created an issue, claiming the names were incorrect and demanding a fine for all five tickets. They attempted to delay us so we would miss our flight, pressuring us to pay the fine to board on time. As you can see, many Bamboo Airways passengers have been scammed in this way. I hope the government will act justly and scrutinize these deceptive tactics used by Bamboo Airways. I am truly ashamed of the airline’s unethical practices.",Date of travel: September 2024,
1.0 of 5 bubbles,Avoid,Flight cancelled in December and we had treated ourselves to business class. 9 months on and still no refund. One response saying the needed to reopen the flight to process refunds all other emails- no response. Avoid.,Date of travel: January 2024,
1.0 of 5 bubbles,"Bamboo airlines, the worst airline I've ever used; avoid it unless you want to give your money to a tycoon.","Never use this airline. I entered all the required information, but they still screwed it up due to a missing middle name or mixing up the first and middle names. Because of this, I had to cancel the tickets and lost all the money. This issue could have been easily fixed without any fees if it were Vietnam Airlines. I ended up losing over 4,860,000 VND for the trip. It was my first time trying Bamboo Airways to save a measly 200,000 VND compared to Vietnam Airlines.

The worst part is if you’re a foreigner, they’ll correct the info with a fee, but if you’re Vietnamese, tough luck—you have to buy new tickets if you want to fly.

To top it off, their staff are rude as hell and try to scam you. They send you in circles without solving anything and then tell you to call customer service, where no one even bothers to pick up.

I finally gave up because I realized they’re a complete scam, just trying to squeeze more money out of you.",Date of travel: September 2024,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}]"
1.0 of 5 bubbles,BIG SCAM,"STAY AWAY from Bamboo Airways.
They NEVER refund the cost of the flights that they cancelled. 
$3,500 in my case.

I have emailed them many times, no response, except automatic response.
When I called they didn't answer.",Date of travel: December 2023,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
4.0 of 5 bubbles,It's very good,"I like the view, and the flight attendant always careful. The food here was kind of bland but they provided salt and pepper so it's actually good and the landing was smooth",Date of travel: August 2024,"[{'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Avoid!,"Bamboo Airways is a scam. 

I was told that my name isn't in the proper order and I had to pay VND 180k  for name change. 

This the first time happening to me with an air carrier thus I asked what is the order I should follow to prevent  other incidences  from happening, counter staff simply said I have to pay in order to board the flight.

Problem is they gave me a e- receipt  stating the name change BUT it followed the name that they insisted was in the wrong order.

If you are confused reading this, trust me, I am too. 

I  do not have to be charged to begin with!

By then, I was already on the flight.

It is one thing to scam.
But please scam smartly, Bamboo Air. 

Avoid this air carrier at all costs.",Date of travel: August 2024,
1.0 of 5 bubbles,"Worst airline, please avoid",Many of my family and friends flights were canceled and there is no refund or support after more than one year. Please do not use this airline.,Date of travel: November 2023,
1.0 of 5 bubbles,Money Making Airline,"Money Makers.
The ticket wasn't the cheapest, but I wanted to try a new airline. 20kg was the luggage limit. My luggage was 22kg. Alright, a bit overweight. Carry On was 1kg over. Sure a bit overweight. But then they weighed my laptop bag with my laptop bags and charged me huge amount overweight. Wtf? Since when are laptop bags weighed? And then the lady proceeds to tell me there's something wrong with my sight because I didn't read the Bamboo regulations. Wow",Date of travel: July 2024,
1.0 of 5 bubbles,Worst experience I ever had with Airline,"The worst experience I ever had with an airline here you go Bamboo. airline
When we arrived in Hanoi 🙄🙄😯 we all as passengers received a notification that our flight has been cancelled without giving us a compensation. They would just state that we will have to reach out to the customer service to request compensation until this day seven months later we did not receive the compensation, even though we wrote them several emails, try to reach out at the corner of the airport . I highly warn everyone to not Airline and ignore all the positive comments. They are greedy devils.",Date of travel: October 2023,
1.0 of 5 bubbles,DREADFUL SERVICE ON CANCELLED FLIGHT,"My flight was cancelled.  I have  contacted them numerous times to obtain a  refund but only had automatic replies.

I had spoken to BOOKING.COM  the day before about the flight, who resent all the flight  details  with absolutely no warning that  the flight was cancelled. 

You cannot get hold of any anyone by email or telephone to  deal with  the refund.

Dreadful company.",Date of travel: December 2023,
1.0 of 5 bubbles,Sad lesson,Actually I thought that I booked business seat(above not available to choose )with good price BUT it was a trap! They canceled the flight but never replied refund email request. I hope that I could see those comments avoid this issue.,Date of travel: June 2024,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,They cancelled my flight but won't give my money back,"The airline is soooo bad. They cancelled my flight due to their bad management and they said they reimburse my money and made all promises but money never arrived.  I have sent them many emails after they emailed and confirmed they are transferring the money.  They are now not even responding to my emails.
Don't waste your money on buying their service when there is none!!!!!!",Date of travel: September 2023,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Avoid these airlines,This is the worst experience you can have. This airline cancelled our flight more than half a year ago and still has not refunded our money. It is impossible to contact them either by e-mail or telephone. Avoid these airlines.,Date of travel: March 2024,
1.0 of 5 bubbles,Airplane kicked already checked-in guest out of airplane without warning,"Most terrible experience I've ever had -- absolutely zero sense of service, all probably because they're going bankrupt. Booked the last flight of the night and my carry-on was heavier than expected when checked at boarding gate so I was asked to figure to get more checked luggage. While I was figuring this complication out (as instructed), the boarding staff kicked me out of the plane BEFORE calling me to scream at me, then hung up on me. They then continued to surcharge to change me to the first flight of the next day. Vietjet is bad but at least they're proudly and consciously so (you get what you sign up for). Bamboo is just another level of hypocrisy with horrendous service and zero sensibility.",Date of travel: June 2024,
1.0 of 5 bubbles,Don’t choose this airline,"Terrible. Don’t choose this airline 
I booked an early flight at 8pm but it turn out I they delayed twice and at the end they collect all passengers and combined in the last flight of the day at 11:30pm.",Date of travel: June 2024,
3.0 of 5 bubbles,Luggage scam?,"The experience was generally okay. What bothered me was that I paid in advance for extra luggage weight and when I checked in at the airport there was no record of it. The Bamboo representative explained to me that I had to 'prove' that I paid. The way it was stated seemed as though this was a standard practice. Luckily I had the receipt in my emails and had a data connection so I could retrieve it. This could have been an honest mistake but it sure seemed like it was policy, the way that the clerk handled it. I will avoid Bamboo Airways in the future.",Date of travel: June 2024,"[{'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Scam airline!,We booked our flights in September 2023 to go to Vietnam in December 2023. In October 2023 the airline cancelled our flight. Now (end of may 2024) still no refund and still getting ignored by the airline. Scammers! Avoid them!,Date of travel: December 2023,
